ID Locale Sensore,ID Locale Proprieta Osservata,ID Datastream Frost
LS0623020122,PM10,1
LS0623020122,PM25,2
LS0623020122,CO_ug,3
LS0623020122,CO2,4
LS0623020122,O3_ug,5
LS0623020122,NO2_ug,6
LS0623020122,PPB_ug,7
LS0623020122,TEMP_EXT,8
LS0623020122,PERC,9
LS0623020122,HPA,10
LS0623020123,PM10,11
LS0623020123,PM25,12
LS0623020123,CO_ug,13
LS0623020123,CO2,14
LS0623020123,O3_ug,15
LS0623020123,NO2_ug,16
LS0623020123,PPB_ug,17
LS0623020123,TEMP_EXT,18
LS0623020123,PERC,19
LS0623020123,HPA,20
LS0623020124,PM10,21
LS0623020124,PM25,22
LS0623020124,CO_ug,23
LS0623020124,CO2,24
LS0623020124,O3_ug,25
LS0623020124,NO2_ug,26
LS0623020124,PPB_ug,27
LS0623020124,TEMP_EXT,28
LS0623020124,PERC,29
LS0623020124,HPA,30
LS0623020125,PM10,31
LS0623020125,PM25,32
LS0623020125,CO_ug,33
LS0623020125,CO2,34
LS0623020125,O3_ug,35
LS0623020125,NO2_ug,36
LS0623020125,PPB_ug,37
LS0623020125,TEMP_EXT,38
LS0623020125,PERC,39
LS0623020125,HPA,40
LS0623020126,PM10,41
LS0623020126,PM25,42
LS0623020126,CO_ug,43
LS0623020126,CO2,44
LS0623020126,O3_ug,45
LS0623020126,NO2_ug,46
LS0623020126,PPB_ug,47
LS0623020126,TEMP_EXT,48
LS0623020126,PERC,49
LS0623020126,HPA,50
LS0623020127,PM10,51
LS0623020127,PM25,52
LS0623020127,CO_ug,53
LS0623020127,CO2,54
LS0623020127,O3_ug,55
LS0623020127,NO2_ug,56
LS0623020127,PPB_ug,57
LS0623020127,TEMP_EXT,58
LS0623020127,PERC,59
LS0623020127,HPA,60
LS0623020128,PM10,61
LS0623020128,PM25,62
LS0623020128,CO_ug,63
LS0623020128,CO2,64
LS0623020128,O3_ug,65
LS0623020128,NO2_ug,66
LS0623020128,PPB_ug,67
LS0623020128,TEMP_EXT,68
LS0623020128,PERC,69
LS0623020128,HPA,70
LS0623020129,PM10,71
LS0623020129,PM25,72
LS0623020129,CO_ug,73
LS0623020129,CO2,74
LS0623020129,O3_ug,75
LS0623020129,NO2_ug,76
LS0623020129,PPB_ug,77
LS0623020129,TEMP_EXT,78
LS0623020129,PERC,79
LS0623020129,HPA,80
LS0623020130,PM10,81
LS0623020130,PM25,82
LS0623020130,CO_ug,83
LS0623020130,CO2,84
LS0623020130,O3_ug,85
LS0623020130,NO2_ug,86
LS0623020130,PPB_ug,87
LS0623020130,TEMP_EXT,88
LS0623020130,PERC,89
LS0623020130,HPA,90
LS0623020132,PM10,91
LS0623020132,PM25,92
LS0623020132,CO_ug,93
LS0623020132,CO2,94
LS0623020132,O3_ug,95
LS0623020132,NO2_ug,96
LS0623020132,PPB_ug,97
LS0623020132,TEMP_EXT,98
LS0623020132,PERC,99
LS0623020132,HPA,100
LS0623020133,PM10,101
LS0623020133,PM25,102
LS0623020133,CO_ug,103
LS0623020133,CO2,104
LS0623020133,O3_ug,105
LS0623020133,NO2_ug,106
LS0623020133,PPB_ug,107
LS0623020133,TEMP_EXT,108
LS0623020133,PERC,109
LS0623020133,HPA,110
LS0623020134,PM10,111
LS0623020134,PM25,112
LS0623020134,CO_ug,113
LS0623020134,CO2,114
LS0623020134,O3_ug,115
LS0623020134,NO2_ug,116
LS0623020134,PPB_ug,117
LS0623020134,TEMP_EXT,118
LS0623020134,PERC,119
LS0623020134,HPA,120
LS0623020135,PM10,121
LS0623020135,PM25,122
LS0623020135,CO_ug,123
LS0623020135,CO2,124
LS0623020135,O3_ug,125
LS0623020135,NO2_ug,126
LS0623020135,PPB_ug,127
LS0623020135,TEMP_EXT,128
LS0623020135,PERC,129
LS0623020135,HPA,130
LS0623020136,PM10,131
LS0623020136,PM25,132
LS0623020136,CO_ug,133
LS0623020136,CO2,134
LS0623020136,O3_ug,135
LS0623020136,NO2_ug,136
LS0623020136,PPB_ug,137
LS0623020136,TEMP_EXT,138
LS0623020136,PERC,139
LS0623020136,HPA,140
LS0623020137,PM10,141
